"Water Control Zone","Station","Dates","Sample No","Type","Zinc (mg/kg)","Vanadium (mg/kg)","Total Volatile Solid (% Total Solid)","Total Sulphide (mg/kg)","Total Solid (%w/w)","Total Polychlorinated Biphenyls (μg/kg)","Total Phosphorus (mg/kg)","Total Kjeldahl Nitrogen (mg/kg)","Total Cyanide (mg/kg)","Total Carbon (%w/w)","Silver (mg/kg)","Pyrene (μg/kg)","Phenanthrene (μg/kg)","Particle Size Fraction <63 micrometer (%w/w)","Nickel (mg/kg)","Naphthalene (μg/kg)","Mercury (mg/kg)","Manganese (mg/kg)","Lead (mg/kg)","Iron (mg/kg)","Indeno(1,2,3-cd)pyrene (μg/kg)","Fluorene (μg/kg)","Fluoranthene (μg/kg)","Electrochemical Potential (mV)","Dry Wet Ratio","Dibenzo(ah)anthracene (μg/kg)","Copper (mg/kg)","Chrysene (μg/kg)","Chromium (mg/kg)","Chemical Oxygen Demand (mg/kg)","Cadmium (mg/kg)","Boron (mg/kg)","Benzo(k)fluoranthene (μg/kg)","Benzo(ghi)perylene (μg/kg)","Benzo(b)fluoranthene (μg/kg)","Benzo(a)pyrene (μg/kg)","Benzo(a)anthracene (μg/kg)","Barium (mg/kg)","Arsenic (mg/kg)","Anthracene (μg/kg)","Ammonia Nitrogen (mg/kg)","Aluminium (mg/kg)","Acenaphthylene (μg/kg)","Acenaphthene (μg/kg)"
"Deep Bay","DS1","2012-02-10","1","Bulk Sample","150","22","5.9","220","48","18","290","620","0.3","0.7","0","20","8","51","18","<60","0.1","240","38","22000","11","<10","19","-268","0.6","<5","46","13","30","17000","0.2","10","5","14","13","9","10","23","7","<5","140","22000","<50","<50"
"Deep Bay","DS1","2012-07-12","1","Bulk Sample","230","28","5.4","14","49","18","290","530","0.3","0.6","1","15","14","36","22","<60","0.13","250","44","26000","<5","<10","71","-92","0.48","<5","61","8","44","13000","0.3","8","<1","<1","<1","<1","<3","32","8.8","<5","17","23000","<50","<50"
"Deep Bay","DS1","2013-01-09","1","Bulk Sample","100","17","4.3","92","55","18","200","430","0.2","0.7","0","14","41","50","13","<60","0.07","250","27","17000","5","<10","15","-388","0.54","<5","22","<5","21","11000","0.2","9","4","13","9","6","5","18","6.1","<5","3.1","14000","<50","<50"
"Deep Bay","DS1","2013-09-05","1","Bulk Sample","210","29","5.9","310","45","18","330","630","0.2","0.6","1","26","7","50","22","<60","0.14","240","47","24000","8","<10","15","-265","0.43","<5","57","<5","40","17000","0.3","7","5","6","9","8","6","32","9.2","<5","19","21000","<50","<50"
"Deep Bay","DS1","2014-01-29","1","Bulk Sample","210","30","6.7","46","56","18","360","570","<0.1","0.6","1","23","13","65","21","<60","0.15","220","47","25000","12","<10","20","-401","0.5","<5","62","7","40","15000","0.3","10","7","15","15","14","11","25","9.7","<5","3.6","21000","<50","<50"
"Deep Bay","DS1","2014-07-11","1","Bulk Sample","270","33","6.8","99","46","18","370","690","0.3","0.6","1","47","13","67","24","<60","0.26","280","47","29000","12","<10","31","-354","0.4","<5","62","8","45","19000","0.3","21","8","21","18","20","12","33","10","<5","24","24000","<50","<50"
"Deep Bay","DS1","2015-01-19","1","Bulk Sample","170","20","5.5","44","51","18","290","460","<0.1","0.5","0","29","8","63","15","<60","0.1","210","35","17000","9","<10","12","-368","0.48","<5","38","<5","31","16000","0.2","8","4","9","7","8","7","26","8","<5","1.1","15000","<50","<50"
"Deep Bay","DS1","2015-08-03","1","Bulk Sample","310","39","6.6","110","43","18","320","600","0.2","0.7","1","73","11","78","29","<60","0.17","360","53","32000","33","18","40","-342","0.43","<5","73","17","54","21000","0.4","6","17","54","25","26","21","43","12","<5","27","28000","<50","<50"
"Deep Bay","DS1","2016-01-11","1","Bulk Sample","320","29","8.4","110","45","18","350","560","0.2","0.7","1","110","44","79","35","140","0.17","220","48","24000","25","22","29","-362","0.45","6","75","17","51","21000","0.4","8","13","31","28","21","15","34","11","<5","3.1","23000","<50","63"
"Deep Bay","DS1","2016-07-13","1","Bulk Sample","350","30","7.2","450","36","18","360","630","0.2","0.6","1","120","53","98","27","<60","0.29","290","69","27000","36","18","75","-371","0.3","<5","83","31","59","15000","0.5","5","21","57","46","32","26","68","15","6","29","25000","<50","<50"
"Deep Bay","DS1","2017-01-23","1","Bulk Sample","400","41","8.9","160","39","18","590","740","0.3","0.8","1","46","22","97","33","140","0.31","640","82","35000","20","<10","43","-458","0.37","5","110","8","64","18000","0.5","7","13","60","30","24","18","66","19","<5","50","30000","<50","630"
"Deep Bay","DS1","2017-08-11","1","Bulk Sample","340","36","9","370","42","18","630","1000","0.1","1.2","1","320","110","N/A","41","210","0.26","340","59","24000","120","26","290","-166","0.5","<5","78","110","59","24000","0.8","6","82","170","170","165","130","110","12","20","96","30000","<50","<50"
"Deep Bay","DS1","2018-01-03","1","Bulk Sample","200","40","6.8","220","53","18","320","500","0.2","0.4","0","19","<5","86","26","<60","0.12","360","52","31000","8","<10","7","-93","0.47","<5","59","7","43","20000","0.3","16","4","12","5","6","4","42","19","<5","0.67","30000","<50","<50"
"Deep Bay","DS1","2018-07-27","1","Bulk Sample","410","40","9.1","660","41","18","630","970","0.3","1","1","39","8","90","38","<60","0.25","590","73","33000","16","<10","43","-158","0.38","14","92","26","64","23000","0.6","10","11","38","24","17","17","79","18","<5","53","29000","<50","<50"
"Deep Bay","DS1","2019-02-01","1","Bulk Sample","180","12","8.3","540","44","18","310","490","0.3","0.9","0","65","49","48","18","<60","0.07","180","31","12000","28","33","82","-248","0.65","<5","31","40","21","17000","0.7","5","23","40","53","38","45","50","5.3","7","21","11000","<50","<50"
"Deep Bay","DS1","2019-07-19","1","Bulk Sample","240","27","4.2","120","54","18","240","450","0.2","0.5","0","20","<5","57","21","<60","0.43","290","46","23000","12","<10","19","-340","0.49","<5","58","8","37","15000","0.7","<5","9","21","15","16","12","35","12","<5","7.5","24000","<50","<50"
"Deep Bay","DS1","2020-05-11","1","Bulk Sample","320","34","6","26","43","18","270","540","0.2","0.5","1","15","33","17","27","<60","0.18","290","60","27000","17","12","27","-117","0.45","<5","69","13","47","21000","0.5","11","7","25","10","21","14","48","12","<5","3","30000","<50","<50"
"Deep Bay","DS1","2020-07-06","1","Bulk Sample","280","26","6.1","180","43","18","440","650","0.2","0.7","1","40","5","98","22","<60","0.16","380","48","22000","27","<10","39","-178","0.45","15","62","15","38","16000","1.3","5","13","38","16","29","19","41","13","<5","23","18000","<50","<50"
"Deep Bay","DS1","2021-03-25","1","Bulk Sample","240","28","5.2","250","55","18","N/A","N/A","0.2","0.6","0","120","68","85","27","<60","0.16","290","46","22000","63","16","130","-203","0.54","31","60","56","43","23000","0.9","8","34","96","47","70","41","52","11","6","5.4","24000","<50","<50"
"Deep Bay","DS1","2021-08-26","1","Bulk Sample","240","30","4.8","240","51","18","N/A","N/A","<0.1","0.5","1","33","10","97","25","<60","0.22","400","47","22000","46","<10","28","-120","0.53","<5","49","24","42","30000","0.5","7","24","60","39","53","24","58","12","<5","9.1","27000","<50","<50"
